Company name;Headquarter country;Headquarter country code;Year;Partner jurisdiction;Partner jurisdiction code;Revenue;Profit before tax;CIT paid;CIT accrued;FTEs;Statutory CIT rate;Exchange rate to EUR
ENI;Italy;ITA;2019;Indonesia;IDN;591,802;159,401;4,409;35,432;322;0,25;1
ENI;Italy;ITA;2019;Iran;IRN;7,031;-1,768;0,026;0,026;0;;1
ENI;Italy;ITA;2019;Iraq;IRQ;519,656;95,362;30,789;34,611;517;0;1
ENI;Italy;ITA;2019;Kazakhstan;KAZ;2008,103;900,36;172,235;177,897;1617;;1
ENI;Italy;ITA;2019;Lebanon;LBN;0,781;-9,546;0;0;0;0;1
ENI;Italy;ITA;2019;Myanmar;MMR;0,12;-8,673;0;0;37;;1
ENI;Italy;ITA;2019;Oman;OMN;2,789;-14,511;0;0;22;0;1
ENI;Italy;ITA;2019;Pakistan;PAK;144,712;12,51;6,175;1,617;310;0,3;1
ENI;Italy;ITA;2019;Russia;RUS;126,324;39,625;0,405;0,329;69;0,2;1
ENI;Italy;ITA;2019;Saudi Arabia;SAU;194,552;0;6,629;0;0;0,2;1
ENI;Italy;ITA;2019;Singapore;SGP;1643,921;18,623;-1,432;2,484;37;0,17;1
ENI;Italy;ITA;2019;East Timor;TLS;0,002;-0,675;0;0;3;;1
ENI;Italy;ITA;2019;Turkmenistan;TKM;131,272;34,965;10,062;4,31;983;;1
ENI;Italy;ITA;2019;United Arab Emirates;ARE;1129,111;620,705;468,771;573,195;104;0,55;1
ENI;Italy;ITA;2019;Vietnam;VNM;5,498;-7,829;0;0;42;0,2;1
ENI;Italy;ITA;2019;Argentina;ARG;2,694;-0,909;1,586;-0,642;3;0,3;1
ENI;Italy;ITA;2019;Bahamas;BHS;0;0;0;0;0;0;1
ENI;Italy;ITA;2019;Bermuda;BMU;0,176;0,075;0;0;0;0;1
ENI;Italy;ITA;2019;Brazil;BRA;0,017;0,111;0;0;0;0,34;1
ENI;Italy;ITA;2019;British Virgin Islands;VGB;0;0;0;0;0;0;1
ENI;Italy;ITA;2019;Canada;CAN;0;0;0;0;0;0,265;1
ENI;Italy;ITA;2019;Cayman Islands;CYM;0;0;0;0;0;0;1
ENI;Italy;ITA;2019;Ecuador;ECU;119,161;16,98;3,971;4,072;488;0,25;1
ENI;Italy;ITA;2019;Mexico;MEX;116,136;-37,786;0;0,016;186;0,3;1
ENI;Italy;ITA;2019;United States;USA;4103,804;44,182;12,906;10,591;365;0,27;1
ENI;Italy;ITA;2019;Venezuela;VEN;143,911;-115,842;0;28,701;132;0,34;1
