"COU","Ultimate Parent Jurisdiction","JUR","Partner Jurisdiction","PAN","Grouping","CBC","Variable","YEA","Year","Value","Flag Codes","Flags"
"DNK","Denmark","LUX","Luxembourg","PANELAI","Sub-Groups with positive profits","PROFIT","Profit (Loss) before Income Tax","2016","2016",77265336.233,,
"IDN","Indonesia","JPN","Japan","PANELAI","Sub-Groups with positive profits","ACT_HOLDING","Holding Shares or other Equity Instruments","2016","2016",0,,
"USA","United States","DEU","Germany","PANELAI","Sub-Groups with positive profits","RPR","Related Party Revenues","2016","2016",105867061137,,
"IND","India","VEN","Venezuela","PANELAI","Sub-Groups with positive profits","ACT_SALES","Sales, Marketing or Distribution","2016","2016",1,,
"ITA","Italy","OAF","Other Africa","PANELAI","Sub-Groups with positive profits","ACT_MAN","Manufacturing or Production","2016","2016",16,,
"AUS","Australia","PRT","Portugal","PANELAI","Sub-Groups with positive profits","STATED_CAPITAL","Stated Capital","2016","2016",19444894,,
"AUS","Australia","BMU","Bermuda","PANELAI","Sub-Groups with positive profits","EMPLOYEES","Number of Employees","2016","2016",25,,
"IND","India","USA","United States","PANELAI","Sub-Groups with positive profits","EMPLOYEES","Number of Employees","2016","2016",119299,,
"IND","India","MOZ","Mozambique","PANELAI","Sub-Groups with positive profits","ACT_IGF","Internal Group Finance","2016","2016",0,,
"MEX","Mexico","BRB","Barbados","PANELAI","Sub-Groups with positive profits","PROFIT","Profit (Loss) before Income Tax","2016","2016",1393580.889,,
"CHN","China (People's Republic of)","LUX","Luxembourg","PANELAI","Sub-Groups with positive profits","RPR","Related Party Revenues","2016","2016",252124547.372,,
"BMU","Bermuda","BMU","Bermuda","PANELAI","Sub-Groups with positive profits","ACT_FIN","Regulated Financial Services","2016","2016",42,,
"IND","India","GBR","United Kingdom","PANELAI","Sub-Groups with positive profits","ACT_HOLDING","Holding Shares or other Equity Instruments","2016","2016",22,,
"AUS","Australia","GGY","Guernsey","PANELAI","Sub-Groups with positive profits","ENTITIES_COUNT","Number of Entities","2016","2016",12,,
"ZAF","South Africa","BHR","Bahrain","PANELAI","Sub-Groups with positive profits","RPR","Related Party Revenues","2016","2016",0,,
"CHL","Chile","COL","Colombia","PANELAI","Sub-Groups with positive profits","TAX_ACCRUED","Income Tax Accrued - Current Year","2016","2016",47760317.407,,
"ZAF","South Africa","AUS","Australia","PANELAI","Sub-Groups with positive profits","TAX_PAID","Income Tax Paid (on Cash Basis)","2016","2016",195248668.2,,
"USA","United States","UKR","Ukraine","PANELAI","Sub-Groups with positive profits","PROFIT","Profit (Loss) before Income Tax","2016","2016",231568087,,
"IND","India","RWA","Rwanda","PANELAI","Sub-Groups with positive profits","TOT_REV","Total Revenues","2016","2016",4590436.288,,
"ITA","Italy","HND","Honduras","PANELAI","Sub-Groups with positive profits","UPR","Unrelated Party Revenues","2016","2016",49286142.976,,
"CHN","China (People's Republic of)","ZAF","South Africa","PANELAI","Sub-Groups with positive profits","ACT_SALES","Sales, Marketing or Distribution","2016","2016",9,,
"CHL","Chile","SGP","Singapore","PANELAI","Sub-Groups with positive profits","UPR","Unrelated Party Revenues","2016","2016",203178082.852,,
"IND","India","COG","Congo","PANELAI","Sub-Groups with positive profits","ACT_IGF","Internal Group Finance","2016","2016",0,,
